algorithm,subsampling,feature_selection,imputation_num,imputation_cat,encoding,fold,auc,sen,spec,accu,gmean
LR,smote,FFS,Median,Mode,Label,1,0.59898223,0.171428571,0.903184221,0.800931574,0.393486443
LR,smote,FFS,Median,Drop,Label,1,0.624377008,0.208747515,0.903873075,0.809818426,0.43437456
LR,smote,FFS,Drop,Unknown,One-Hot,1,0.625767049,0.297339593,0.857604481,0.789812536,0.504975017
LR,smote,FFS,Drop,Missing,One-Hot,1,0.625767049,0.297339593,0.857604481,0.789812536,0.504975017
LR,smote,FFS,Drop,Mode,One-Hot,1,0.625767049,0.297339593,0.857604481,0.789812536,0.504975017
LR,smote,FFS,Drop,Drop,One-Hot,1,0.60309934,0.125517241,0.934471803,0.83266794,0.342479668
LR,smote,FFS,Median,Unknown,One-Hot,1,0.618166285,0.252380952,0.865540802,0.779860264,0.467382083
LR,smote,FFS,Median,Missing,One-Hot,1,0.618166285,0.252380952,0.865540802,0.779860264,0.467382083
LR,smote,FFS,Median,Mode,One-Hot,1,0.607193656,0.201587302,0.899058915,0.801596983,0.425721576
LR,smote,FFS,Median,Drop,One-Hot,1,0.624377008,0.208747515,0.903873075,0.809818426,0.43437456
LR,smote,LASSO,Drop,Unknown,Label,1,0.652228176,0.388106416,0.827660491,0.774474531,0.566763043
LR,smote,LASSO,Drop,Missing,Label,1,0.649916494,0.353677621,0.832399828,0.774474531,0.542587496
LR,smote,LASSO,Drop,Mode,Label,1,0.658204096,0.3771518,0.827875916,0.773338383,0.558779824
LR,smote,LASSO,Drop,Drop,Label,1,0.635556682,0.313103448,0.825456712,0.760978997,0.508383067
LR,smote,LASSO,Median,Unknown,Label,1,0.641690352,0.387301587,0.787675648,0.731728956,0.552329638
LR,smote,LASSO,Median,Missing,Label,1,0.643963977,0.383333333,0.802243135,0.743706332,0.554550751
LR,smote,LASSO,Median,Mode,Label,1,0.646253154,0.405555556,0.791414207,0.737495841,0.566535461
LR,smote,LASSO,Median,Drop,Label,1,0.653201958,0.372763419,0.823767304,0.762743779,0.554139258
LR,smote,LASSO,Drop,Unknown,One-Hot,1,0.658200387,0.372456964,0.824429125,0.769740579,0.554133891
LR,smote,LASSO,Drop,Missing,One-Hot,1,0.656596672,0.383411581,0.827660491,0.773906457,0.563324611
LR,smote,LASSO,Drop,Mode,One-Hot,1,0.656596672,0.383411581,0.827660491,0.773906457,0.563324611
LR,smote,LASSO,Drop,Drop,One-Hot,1,0.628376654,0.340689655,0.801231136,0.743273737,0.522466419
LR,smote,LASSO,Median,Unknown,One-Hot,1,0.647731286,0.41984127,0.781229857,0.730730842,0.572706325
LR,smote,LASSO,Median,Missing,One-Hot,1,0.645636404,0.406349206,0.778264793,0.726294777,0.562358676
LR,smote,LASSO,Median,Mode,One-Hot,1,0.64108588,0.416666667,0.775428645,0.725296662,0.568414698
LR,smote,LASSO,Median,Drop,One-Hot,1,0.648119372,0.389662028,0.799191165,0.743779422,0.558045204
LR,smote,RF,Drop,Unknown,Label,1,0.635119299,0.350547731,0.815596726,0.759325885,0.534701395
LR,smote,RF,Drop,Missing,Label,1,0.618812786,0.341158059,0.812149935,0.755160008,0.526375812
LR,smote,RF,Drop,Mode,Label,1,0.632677823,0.34741784,0.814519604,0.758000379,0.531957368
LR,smote,RF,Drop,Drop,Label,1,0.62251075,0.300689655,0.829428118,0.762888387,0.499400095
LR,smote,RF,Median,Unknown,Label,1,0.644505424,0.366666667,0.802372051,0.7414883,0.542404909
LR,smote,RF,Median,Missing,Label,1,0.637961923,0.370634921,0.812040737,0.75036043,0.548607924
LR,smote,RF,Median,Mode,Label,1,0.638692446,0.379365079,0.807915431,0.748031496,0.553619817
LR,smote,RF,Median,Drop,Label,1,0.631591846,0.325049702,0.828278115,0.760188299,0.518875278
LR,smote,RF,Drop,Unknown,One-Hot,1,0.645952887,0.350547731,0.821413184,0.764438553,0.536604629
LR,smote,RF,Drop,Missing,One-Hot,1,0.641265131,0.367762128,0.816889272,0.762544973,0.548106684
LR,smote,RF,Drop,Mode,One-Hot,1,0.64903322,0.374021909,0.818397243,0.764627911,0.553261691
LR,smote,RF,Drop,Drop,One-Hot,1,0.626449015,0.336551724,0.813343924,0.753341434,0.523194323
LR,smote,RF,Median,Unknown,One-Hot,1,0.637777348,0.352380952,0.809849168,0.745924365,0.534205411
LR,smote,RF,Median,Missing,One-Hot,1,0.633112437,0.342857143,0.809720253,0.744482644,0.52689503
LR,smote,RF,Median,Mode,One-Hot,1,0.631197526,0.325396825,0.82428774,0.754574692,0.517900197
LR,smote,RF,Median,Drop,One-Hot,1,0.640790349,0.329025845,0.831077928,0.763147276,0.522920756
LR,none,FFS,Drop,Unknown,Label,2,0.588362638,0,0.998963516,0.885845588,0
LR,none,FFS,Drop,Missing,Label,2,0.584378567,0,0.998963516,0.885845588,0
LR,none,FFS,Drop,Mode,Label,2,0.584378567,0,0.998963516,0.885845588,0
LR,none,FFS,Drop,Drop,Label,2,0.579455919,0,1,0.881516588,0
LR,none,FFS,Median,Unknown,Label,2,0.579210332,0,0.99961568,0.865365421,0
LR,none,FFS,Median,Missing,Label,2,0.569994751,0,0.99961568,0.865365421,0
LR,none,FFS,Median,Mode,Label,2,0.56768275,0,0.999743787,0.865476323,0
LR,none,FFS,Median,Drop,Label,2,0.589770442,0.004162331,0.998174627,0.871400133,0.064457219
LR,none,FFS,Drop,Unknown,One-Hot,2,0.580977014,0.001623377,0.998756219,0.885845588,0.040266084
LR,none,FFS,Drop,Missing,One-Hot,2,0.580977014,0.001623377,0.998756219,0.885845588,0.040266084
LR,none,FFS,Drop,Mode,One-Hot,2,0.580977014,0.001623377,0.998756219,0.885845588,0.040266084
LR,none,FFS,Drop,Drop,One-Hot,2,0.563097158,0,0.999615975,0.881178064,0
LR,none,FFS,Median,Unknown,One-Hot,2,0.591246322,0,0.99961568,0.865365421,0
LR,none,FFS,Median,Missing,One-Hot,2,0.591246322,0,0.99961568,0.865365421,0
LR,none,FFS,Median,Mode,One-Hot,2,0.578337917,0,0.999743787,0.865476323,0
LR,none,FFS,Median,Drop,One-Hot,2,0.589770442,0.004162331,0.998174627,0.871400133,0.064457219
